Date,Month,Week,Semester,Subject,Final_Letter_Grade,Study_Hours_Per_Week,Stress_Level,Class_Attendance_Pct,Sleep_Hours_Average,Screen_Time_Social_Media,Department,Is_Exam_Week
8/7/2025,August,1,Fall,Calculus,A-,1,10,100,7.5,20,MATHEMATICS AND SCIENCES,0
8/7/2025,August,1,Fall,Encp 1,A-,3,7,100,7.5,20,PILLAR,0
8/7/2025,August,1,Fall,Seminar 1,B,2,10,100,7.5,20,PILLAR,0
8/7/2025,August,1,Fall,Microeconomics,B,2,10,100,7.5,20,HUMANITIES AND SOCIAL SCIENCES,0
8/7/2025,August,1,Fall,Statistics,A+,1,7,100,7.5,20,MATHEMATICS AND SCIENCES,0
8/14/2025,August,2,Fall,Calculus,A-,1,7,100,7.2,15,MATHEMATICS AND SCIENCES,0
8/14/2025,August,2,Fall,Encp 1,A-,3,9,100,7.2,15,PILLAR,0
8/14/2025,August,2,Fall,Seminar 1,B,2,10,100,7.2,15,PILLAR,0
8/14/2025,August,2,Fall,Microeconomics,B,2,9,100,7.2,15,HUMANITIES AND SOCIAL SCIENCES,0
8/14/2025,August,2,Fall,Statistics,A+,1,8,100,7.2,15,MATHEMATICS AND SCIENCES,0
8/21/2025,August,3,Fall,Calculus,A-,2,9,100,6.8,18,MATHEMATICS AND SCIENCES,0
8/21/2025,August,3,Fall,Encp 1,A-,2,9,90,6.8,18,PILLAR,0
8/21/2025,August,3,Fall,Seminar 1,B,1,10,90,6.8,18,PILLAR,0
8/21/2025,August,3,Fall,Microeconomics,B,1,9,90,6.8,18,HUMANITIES AND SOCIAL SCIENCES,0
8/21/2025,August,3,Fall,Statistics,A+,1,5,100,6.8,18,MATHEMATICS AND SCIENCES,0
8/28/2025,August,4,Fall,Calculus,A-,1,5,100,8,11,MATHEMATICS AND SCIENCES,0
8/28/2025,August,4,Fall,Encp 1,A-,4,4,100,8,11,PILLAR,0
8/28/2025,August,4,Fall,Seminar 1,B,2,9,100,8,11,PILLAR,0
8/28/2025,August,4,Fall,Microeconomics,B,2,8,100,8,11,HUMANITIES AND SOCIAL SCIENCES,0
8/28/2025,August,4,Fall,Statistics,A+,2.3,4,100,8,11,MATHEMATICS AND SCIENCES,0
9/4/2025,September,5,Fall,Calculus,A-,1,10,90,7,20,MATHEMATICS AND SCIENCES,0
9/4/2025,September,5,Fall,Encp 1,A-,3,7,80,7,20,PILLAR,0
9/4/2025,September,5,Fall,Seminar 1,B,1,10,80,7,20,PILLAR,0
9/4/2025,September,5,Fall,Microeconomics,B,1,10,80,7,20,HUMANITIES AND SOCIAL SCIENCES,0
9/4/2025,September,5,Fall,Statistics,A+,2.5,7,90,7,20,MATHEMATICS AND SCIENCES,0
9/11/2025,September,6,Fall,Calculus,A-,2,7,100,7,12,MATHEMATICS AND SCIENCES,0
9/11/2025,September,6,Fall,Encp 1,A-,2,8,100,7,12,PILLAR,0
9/11/2025,September,6,Fall,Seminar 1,B,1,10,100,7,12,PILLAR,0
9/11/2025,September,6,Fall,Microeconomics,B,2,8,100,7,12,HUMANITIES AND SOCIAL SCIENCES,0
9/11/2025,September,6,Fall,Statistics,A+,2.8,7,100,7,12,MATHEMATICS AND SCIENCES,0
9/18/2025,September,7,Fall,Calculus,A-,3,5,100,6,15,MATHEMATICS AND SCIENCES,0
9/18/2025,September,7,Fall,Encp 1,A-,2,10,100,6,15,PILLAR,0
9/18/2025,September,7,Fall,Seminar 1,B,1,10,100,6,15,PILLAR,0
9/18/2025,September,7,Fall,Microeconomics,B,3,6,100,6,15,HUMANITIES AND SOCIAL SCIENCES,0
9/18/2025,September,7,Fall,Statistics,A+,3,6,100,6,15,MATHEMATICS AND SCIENCES,0
9/25/2025,September,8,Fall,Calculus,A-,1,10,70,4.8,24,MATHEMATICS AND SCIENCES,0
9/25/2025,September,8,Fall,Encp 1,A-,1,10,60,4.8,24,PILLAR,0
9/25/2025,September,8,Fall,Seminar 1,B,1,9,60,4.8,24,PILLAR,0
9/25/2025,September,8,Fall,Microeconomics,B,1,10,60,4.8,24,HUMANITIES AND SOCIAL SCIENCES,0
